Crm Cd Desc,Group
BATTERY - SIMPLE ASSAULT,Assault
SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,Sexual Offence
VANDALISM - MISDEAMEANOR ($399 OR UNDER),Vandalism
"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",Vandalism
"RAPE, FORCIBLE",Sexual Offence
SHOPLIFTING - PETTY THEFT ($950 & UNDER),Larceny
OTHER MISCELLANEOUS CRIME,Other
"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",Larceny
BURGLARY FROM VEHICLE,Motor Vehicle Theft
CRIMINAL THREATS - NO WEAPON DISPLAYED,Assault
ARSON,Arson
INTIMATE PARTNER - SIMPLE ASSAULT,Assault
THEFT PLAIN - PETTY ($950 & UNDER),Larceny
THEFT OF IDENTITY,Fraud
ROBBERY,Robbery
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",Assault
BURGLARY,Burglary
VEHICLE - STOLEN,Motor Vehicle Theft
THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),Motor Vehicle Theft
BRANDISH WEAPON,Assault
INTIMATE PARTNER - AGGRAVATED ASSAULT,Assault
"BUNCO, GRAND THEFT",Fraud
"THEFT, PERSON",Kidnapping
BATTERY WITH SEXUAL CONTACT,Sexual Offence
BIKE - STOLEN,Larceny
BATTERY POLICE (SIMPLE),Assault
"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",Assault
VIOLATION OF COURT ORDER,Other
TRESPASSING,Other
THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),Motor Vehicle Theft
VIOLATION OF RESTRAINING ORDER,Other
DISTURBING THE PEACE,Other
THEFT FROM MOTOR VEHICLE - ATTEMPT,Motor Vehicle Theft
THROWING OBJECT AT MOVING VEHICLE,Assault
EXTORTION,Fraud
"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",Sexual Offence
CHILD STEALING,Kidnapping
CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),Other
ATTEMPTED ROBBERY,Robbery
OTHER ASSAULT,Assault
BOMB SCARE,Other
DOCUMENT FORGERY / STOLEN FELONY,Fraud
SEXUAL PENETRATION W/FOREIGN OBJECT,Sexual Offence
SHOTS FIRED AT INHABITED DWELLING,Assault
"BURGLARY, ATTEMPTED",Burglary
FAILURE TO YIELD,Other
PURSE SNATCHING,Larceny
INDECENT EXPOSURE,Sexual Offence
ORAL COPULATION,Sexual Offence
"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",Fraud
VIOLATION OF TEMPORARY RESTRAINING ORDER,Other
"BUNCO, PETTY THEFT",Fraud
KIDNAPPING - GRAND ATTEMPT,Kidnapping
SHOPLIFTING-GRAND THEFT ($950.01 & OVER),Larceny
RESISTING ARREST,Other
DISCHARGE FIREARMS/SHOTS FIRED,Assault
THREATENING PHONE CALLS/LETTERS,Assault
KIDNAPPING,Kidnapping
LEWD/LASCIVIOUS ACTS WITH CHILD,Sexual Offence
LEWD CONDUCT,Sexual Offence
UNAUTHORIZED COMPUTER ACCESS,Fraud
SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,Sexual Offence
CHILD NEGLECT (SEE 300 W.I.C.),Other
CONTEMPT OF COURT,Other
CHILD ANNOYING (17YRS & UNDER),Other
"BUNCO, ATTEMPT",Fraud
CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,Assault
PIMPING,Sexual Offence
STALKING,Other
THEFT PLAIN - ATTEMPT,Larceny
"RAPE, ATTEMPTED",Sexual Offence
SHOPLIFTING - ATTEMPT,Larceny
THEFT FROM PERSON - ATTEMPT,Larceny
VEHICLE - ATTEMPT STOLEN,Motor Vehicle Theft
FALSE IMPRISONMENT,Other
"BURGLARY FROM VEHICLE, ATTEMPTED",Motor Vehicle Theft
PICKPOCKET,Larceny
"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)",Fraud
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER",Fraud
COUNTERFEIT,Fraud
"CREDIT CARDS, FRAUD USE ($950 & UNDER",Fraud
"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",Assault
CRIMINAL HOMICIDE,Homicide
DOCUMENT WORTHLESS ($200 & UNDER),Fraud
PROWLER,Other
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $950.01",Fraud
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,Assault
DISHONEST EMPLOYEE - GRAND THEFT,Larceny
HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,Other
CHILD PORNOGRAPHY,Sexual Offence
PEEPING TOM,Sexual Offence
BATTERY ON A FIREFIGHTER,Assault
TILL TAP - PETTY ($950 & UNDER),Larceny
CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,Assault
TILL TAP - GRAND THEFT ($950.01 & OVER),Larceny
HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,Other
FIREARMS RESTRAINING ORDER (FIREARMS RO),Other
DRIVING WITHOUT OWNER CONSENT (DWOC),Motor Vehicle Theft
DOCUMENT WORTHLESS ($200.01 & OVER),Fraud
PANDERING,Sexual Offence
CRUELTY TO ANIMALS,Other
"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",Fraud
LYNCHING - ATTEMPTED,Assault
ILLEGAL DUMPING,Other
PETTY THEFT - AUTO REPAIR,Larceny
"MANSLAUGHTER, NEGLIGENT",Other
BOAT - STOLEN,Motor Vehicle Theft
RECKLESS DRIVING,Other
PURSE SNATCHING - ATTEMPT,Larceny
FALSE POLICE REPORT,Fraud
BIKE - ATTEMPTED STOLEN,Larceny
CONSPIRACY,Other
CONTRIBUTING,Other
WEAPONS POSSESSION/BOMBING,Other
BRIBERY,Fraud
"THEFT, COIN MACHINE - GRAND ($950.01 & OVER)",Larceny
GRAND THEFT / INSURANCE FRAUD,Fraud
LYNCHING,Assault
DISRUPT SCHOOL,Other
DISHONEST EMPLOYEE - PETTY THEFT,Larceny
"THEFT, COIN MACHINE - ATTEMPT",Larceny
"THEFT, COIN MACHINE - PETTY ($950 & UNDER)",Larceny
"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)",Other
"DRUGS, TO A MINOR",Drug offence
GRAND THEFT / AUTO REPAIR,Motor Vehicle Theft
DRUNK ROLL,Other
"PICKPOCKET, ATTEMPT",Larceny
CHILD ABANDONMENT,Other
"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",Motor Vehicle Theft
TELEPHONE PROPERTY - DAMAGE,Other
"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM",Other
BIGAMY,Other
FAILURE TO DISPERSE,Other
FIREARMS EMERGENCY PROTECTIVE ORDER (FIREARMS EPO),Other
INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES),Sexual Offence
BLOCKING DOOR INDUCTION CENTER,Other
INCITING A RIOT,Other
DISHONEST EMPLOYEE ATTEMPTED THEFT,Larceny
