Year,Month,unemployment_rate,,,,,,,,,,,,,,,
2020,1,4.9,,,,,,,,,,,,,,,
2020,2,4.9,,,,,,,,,,,,,,,
2020,3,6.7,,,,,,,,,,,,,,,
2020,4,17,,,,,,,,,,,,,,,
2020,5,19,,,,,,,,,,,,,,,
2020,6,17.8,,,,,,,,,,,,,,,
2020,7,18.6,,,,,,,,,,,,,,,
2020,8,17,,,,,,,,,,,,,,,
2020,9,11.3,,,,,,,,,,,,,,,
2020,10,10.4,,,,,,,,,,,,,,,
2020,11,10.4,,,,,,,,,,,,,,,
2020,12,10.8,,,,,,,,,,,,,,,
2021,1,11,,,,,,,,,,,,,,,
2021,2,10.5,,,,,,,,,,,,,,,
2021,3,10.4,,,,,,,,,,,,,,,
2021,4,10.2,,,,,,,,,,,,,,,
2021,5,9.4,,,,,,,,,,,,,,,
2021,6,9.9,,,,,,,,,,,,,,,
2021,7,9.5,,,,,,,,,,,,,,,
2021,8,8.9,,,,,,,,,,,,,,,
2021,9,7.7,,,,,,,,,,,,,,,
2021,10,7.2,,,,,,,,,,,,,,,
2021,11,6.4,,,,,,,,,,,,,,,
2021,12,6,,,,,,,,,,,,,,,
2022,1,6.5,,,,,,,,,,,,,,,
2022,2,5.8,,,,,,,,,,,,,,,
2022,3,5.2,,,,,,,,,,,,,,,
2022,4,4.8,,,,,,,,,,,,,,,
2022,5,4.5,,,,,,,,,,,,,,,
2022,6,4.9,,,,,,,,,,,,,,,
2022,7,4.9,,,,,,,,,,,,,,,
2022,8,4.7,,,,,,,,,,,,,,,
2022,9,4.3,,,,,,,,,,,,,,,
2022,10,4.5,,,,,,,,,,,,,,,
2022,11,4.5,,,,,,,,,,,,,,,
2022,12,4.4,,,,,,,,,,,,,,,
2023,1,4.9,,,,,,,,,,,,,,,
2023,2,5.2,,,,,,,,,,,,,,,
2023,3,5,,,,,,,,,,,,,,,
2023,4,4.5,,,,,,,,,,,,,,,
2023,5,4.8,,,,,,,,,,,,,,,
2023,6,5.3,,,,,,,,,,,,,,,
2023,7,5.4,,,,,,,,,,,,,,,
2023,8,5.8,,,,,,,,,,,,,,,
2023,9,5.8,,,,,,,,,,,,,,,
